Source,Target,Type,weight,book
Alliser-Thorne,Samwell-Tarly,Undirected,8,1.0
Alliser-Thorne,Tyrion-Lannister,Undirected,7,1.0
Alyn,Eddard-Stark,Undirected,11,1.0
Alyn,Harwin,Undirected,6,1.0
Alyn,Jory-Cassel,Undirected,8,1.0
Alyn,Robert-Baratheon,Undirected,4,1.0
Alyn,Tomard,Undirected,3,1.0
Arthur-Dayne,Gerold-Hightower,Undirected,4,1.0
Arya-Stark,Benjen-Stark,Undirected,3,1.0
Arya-Stark,Bran-Stark,Undirected,14,1.0
Arya-Stark,Catelyn-Stark,Undirected,5,1.0
Arya-Stark,Cersei-Lannister,Undirected,12,1.0
Arya-Stark,Desmond,Undirected,3,1.0
Arya-Stark,Eddard-Stark,Undirected,30,1.0
Arya-Stark,Ilyn-Payne,Undirected,5,1.0
Arya-Stark,Jeyne-Poole,Undirected,10,1.0
Arya-Stark,Joffrey-Baratheon,Undirected,39,1.0
Arya-Stark,Jon-Snow,Undirected,37,1.0
Arya-Stark,Jory-Cassel,Undirected,12,1.0
Arya-Stark,Meryn-Trant,Undirected,4,1.0
Arya-Stark,Mordane,Undirected,39,1.0
Arya-Stark,Mycah,Undirected,18,1.0
Arya-Stark,Myrcella-Baratheon,Undirected,13,1.0
Arya-Stark,Petyr-Baelish,Undirected,3,1.0
Arya-Stark,Rickon-Stark,Undirected,7,1.0
Arya-Stark,Robb-Stark,Undirected,15,1.0
Arya-Stark,Robert-Baratheon,Undirected,8,1.0
Arya-Stark,Rodrik-Cassel,Undirected,3,1.0
Arya-Stark,Sandor-Clegane,Undirected,7,1.0
Arya-Stark,Sansa-Stark,Undirected,104,1.0
Arya-Stark,Syrio-Forel,Undirected,20,1.0
Arya-Stark,Tomard,Undirected,6,1.0
Arya-Stark,Tommen-Baratheon,Undirected,5,1.0
Arya-Stark,Vayon-Poole,Undirected,4,1.0
Arya-Stark,Yoren,Undirected,4,1.0
Arys-Oakheart,Cersei-Lannister,Undirected,3,1.0
Balon-Greyjoy,Eddard-Stark,Undirected,3,1.0
Balon-Greyjoy,Robert-Baratheon,Undirected,4,1.0
Balon-Swann,Renly-Baratheon,Undirected,3,1.0
Balon-Swann,Sandor-Clegane,Undirected,3,1.0
Barristan-Selmy,Boros-Blount,Undirected,3,1.0
Barristan-Selmy,Cersei-Lannister,Undirected,12,1.0
Barristan-Selmy,Eddard-Stark,Undirected,28,1.0
Barristan-Selmy,Jaime-Lannister,Undirected,4,1.0
Barristan-Selmy,Joffrey-Baratheon,Undirected,6,1.0
Barristan-Selmy,Jon-Arryn,Undirected,4,1.0
Barristan-Selmy,Meryn-Trant,Undirected,3,1.0
Barristan-Selmy,Petyr-Baelish,Undirected,7,1.0
Barristan-Selmy,Pycelle,Undirected,8,1.0
Barristan-Selmy,Renly-Baratheon,Undirected,13,1.0
Barristan-Selmy,Robert-Baratheon,Undirected,40,1.0
Barristan-Selmy,Sandor-Clegane,Undirected,3,1.0
Barristan-Selmy,Sansa-Stark,Undirected,3,1.0
Barristan-Selmy,Varys,Undirected,9,1.0
Benjen-Stark,Bran-Stark,Undirected,6,1.0
Benjen-Stark,Cersei-Lannister,Undirected,3,1.0
Benjen-Stark,Jaremy-Rykker,Undirected,3,1.0
Benjen-Stark,Jeor-Mormont,Undirected,9,1.0
Benjen-Stark,Jon-Snow,Undirected,41,1.0
Benjen-Stark,Luwin,Undirected,7,1.0
Benjen-Stark,Mance-Rayder,Undirected,3,1.0
Benjen-Stark,Robb-Stark,Undirected,7,1.0
Benjen-Stark,Robert-Baratheon,Undirected,3,1.0
Benjen-Stark,Theon-Greyjoy,Undirected,4,1.0
Benjen-Stark,Tyrion-Lannister,Undirected,8,1.0
Benjen-Stark,Waymar-Royce,Undirected,3,1.0
Benjen-Stark,Yoren,Undirected,4,1.0
Beric-Dondarrion,Eddard-Stark,Undirected,3,1.0
Beric-Dondarrion,Gregor-Clegane,Undirected,6,1.0
Beric-Dondarrion,Loras-Tyrell,Undirected,5,1.0
Beric-Dondarrion,Robert-Baratheon,Undirected,5,1.0
Beric-Dondarrion,Sansa-Stark,Undirected,4,1.0
Beric-Dondarrion,Thoros-of-Myr,Undirected,5,1.0
Boros-Blount,Cersei-Lannister,Undirected,9,1.0
Boros-Blount,Joffrey-Baratheon,Undirected,3,1.0
Boros-Blount,Meryn-Trant,Undirected,5,1.0
Boros-Blount,Sansa-Stark,Undirected,6,1.0
Bowen-Marsh,Jeor-Mormont,Undirected,8,1.0
Bowen-Marsh,Jon-Snow,Undirected,10,1.0
Bowen-Marsh,Samwell-Tarly,Undirected,3,1.0
Bran-Stark,Catelyn-Stark,Undirected,18,1.0
Bran-Stark,Cersei-Lannister,Undirected,6,1.0
Bran-Stark,Eddard-Stark,Undirected,19,1.0
Bran-Stark,Hali,Undirected,3,1.0
Bran-Stark,Hallis-Mollen,Undirected,3,1.0
Bran-Stark,Hodor,Undirected,29,1.0
Bran-Stark,Hullen,Undirected,3,1.0
Bran-Stark,Jeor-Mormont,Undirected,4,1.0
Bran-Stark,Joffrey-Baratheon,Undirected,3,1.0
Bran-Stark,Jon-Arryn,Undirected,7,1.0
Bran-Stark,Jon-Snow,Undirected,56,1.0
Bran-Stark,Jory-Cassel,Undirected,11,1.0
Bran-Stark,Joseth,Undirected,4,1.0
Bran-Stark,Luwin,Undirected,65,1.0
Bran-Stark,Nan,Undirected,17,1.0
Bran-Stark,Osha,Undirected,12,1.0
Bran-Stark,Petyr-Baelish,Undirected,3,1.0
Bran-Stark,Renly-Baratheon,Undirected,3,1.0
Bran-Stark,Rickard-Karstark,Undirected,4,1.0
Bran-Stark,Rickard-Stark,Undirected,4,1.0
Bran-Stark,Rickon-Stark,Undirected,32,1.0
Bran-Stark,Robb-Stark,Undirected,112,1.0
Bran-Stark,Robert-Baratheon,Undirected,11,1.0
Bran-Stark,Rodrik-Cassel,Undirected,6,1.0
Bran-Stark,Sansa-Stark,Undirected,10,1.0
Bran-Stark,Stiv,Undirected,4,1.0
Bran-Stark,Theon-Greyjoy,Undirected,23,1.0
Bran-Stark,Tommen-Baratheon,Undirected,5,1.0
Bran-Stark,Tyrion-Lannister,Undirected,31,1.0
Bran-Stark,Yoren,Undirected,3,1.0
Brandon-Stark,Eddard-Stark,Undirected,11,1.0
Brandon-Stark,Lyanna-Stark,Undirected,4,1.0
Brandon-Stark,Petyr-Baelish,Undirected,14,1.0
Brandon-Stark,Rickard-Stark,Undirected,3,1.0
Brandon-Stark,Robert-Baratheon,Undirected,5,1.0
Bronn,Catelyn-Stark,Undirected,6,1.0
Bronn,Chiggen,Undirected,8,1.0
Bronn,Marillion,Undirected,4,1.0
Bronn,Rodrik-Cassel,Undirected,4,1.0
Bronn,Shae,Undirected,3,1.0
Bronn,Shagga,Undirected,3,1.0
Bronn,Tyrion-Lannister,Undirected,61,1.0
Bronn,Tywin-Lannister,Undirected,4,1.0
Bronn,Vardis-Egen,Undirected,11,1.0
Bronn,Willis-Wode,Undirected,5,1.0
Brynden-Tully,Catelyn-Stark,Undirected,16,1.0
Brynden-Tully,Edmure-Tully,Undirected,3,1.0
Brynden-Tully,Hoster-Tully,Undirected,5,1.0
Brynden-Tully,Jaime-Lannister,Undirected,7,1.0
Brynden-Tully,Lysa-Arryn,Undirected,10,1.0
Brynden-Tully,Nestor-Royce,Undirected,3,1.0
Brynden-Tully,Robb-Stark,Undirected,9,1.0
Brynden-Tully,Theon-Greyjoy,Undirected,6,1.0
Brynden-Tully,Tyrion-Lannister,Undirected,4,1.0
Brynden-Tully,Tywin-Lannister,Undirected,3,1.0
Brynden-Tully,Walder-Frey,Undirected,3,1.0
Catelyn-Stark,Cersei-Lannister,Undirected,12,1.0
Catelyn-Stark,Colemon,Undirected,3,1.0
Catelyn-Stark,Donnel-Waynwood,Undirected,3,1.0
Catelyn-Stark,Eddard-Stark,Undirected,64,1.0
Catelyn-Stark,Edmure-Tully,Undirected,7,1.0
Catelyn-Stark,Eon-Hunter,Undirected,3,1.0
Catelyn-Stark,Hallis-Mollen,Undirected,10,1.0
Catelyn-Stark,Hoster-Tully,Undirected,6,1.0
Catelyn-Stark,Jaime-Lannister,Undirected,9,1.0
Catelyn-Stark,Joffrey-Baratheon,Undirected,4,1.0
Catelyn-Stark,Jon-Arryn,Undirected,11,1.0
Catelyn-Stark,Jon-Snow,Undirected,14,1.0
Catelyn-Stark,Jon-Umber-(Greatjon),Undirected,4,1.0
Catelyn-Stark,Luwin,Undirected,14,1.0
Catelyn-Stark,Lysa-Arryn,Undirected,33,1.0
Catelyn-Stark,Marillion,Undirected,6,1.0
Catelyn-Stark,Masha-Heddle,Undirected,5,1.0
Catelyn-Stark,Moreo-Tumitis,Undirected,3,1.0
Catelyn-Stark,Mya-Stone,Undirected,9,1.0
Catelyn-Stark,Mychel-Redfort,Undirected,3,1.0
Catelyn-Stark,Nestor-Royce,Undirected,3,1.0
Catelyn-Stark,Petyr-Baelish,Undirected,22,1.0
Catelyn-Stark,Rickard-Karstark,Undirected,6,1.0
Catelyn-Stark,Rickon-Stark,Undirected,3,1.0
Catelyn-Stark,Robb-Stark,Undirected,49,1.0
Catelyn-Stark,Robert-Arryn,Undirected,3,1.0
Catelyn-Stark,Robert-Baratheon,Undirected,22,1.0
Catelyn-Stark,Rodrik-Cassel,Undirected,25,1.0
Catelyn-Stark,Sansa-Stark,Undirected,9,1.0
Catelyn-Stark,Stevron-Frey,Undirected,5,1.0
Catelyn-Stark,Theon-Greyjoy,Undirected,9,1.0
Catelyn-Stark,Tyrion-Lannister,Undirected,49,1.0
Catelyn-Stark,Tytos-Blackwood,Undirected,4,1.0
Catelyn-Stark,Tywin-Lannister,Undirected,7,1.0
Catelyn-Stark,Vardis-Egen,Undirected,5,1.0
Catelyn-Stark,Varys,Undirected,10,1.0
Catelyn-Stark,Walder-Frey,Undirected,13,1.0
Catelyn-Stark,Wendel-Manderly,Undirected,3,1.0
Catelyn-Stark,Willis-Wode,Undirected,5,1.0
Cayn,Eddard-Stark,Undirected,7,1.0
Cayn,Renly-Baratheon,Undirected,3,1.0
Cayn,Tomard,Undirected,6,1.0
Cersei-Lannister,Eddard-Stark,Undirected,69,1.0
Cersei-Lannister,Ilyn-Payne,Undirected,4,1.0
Cersei-Lannister,Jaime-Lannister,Undirected,16,1.0
Cersei-Lannister,Janos-Slynt,Undirected,4,1.0
Cersei-Lannister,Joffrey-Baratheon,Undirected,42,1.0
Cersei-Lannister,Jon-Arryn,Undirected,7,1.0
Cersei-Lannister,Jon-Snow,Undirected,4,1.0
Cersei-Lannister,Jory-Cassel,Undirected,5,1.0
Cersei-Lannister,Meryn-Trant,Undirected,4,1.0
Cersei-Lannister,Mordane,Undirected,3,1.0
Cersei-Lannister,Myrcella-Baratheon,Undirected,7,1.0
Cersei-Lannister,Petyr-Baelish,Undirected,13,1.0
Cersei-Lannister,Pycelle,Undirected,9,1.0
Cersei-Lannister,Renly-Baratheon,Undirected,5,1.0
Cersei-Lannister,Robert-Baratheon,Undirected,72,1.0
Cersei-Lannister,Sandor-Clegane,Undirected,5,1.0
Cersei-Lannister,Sansa-Stark,Undirected,29,1.0
Cersei-Lannister,Stannis-Baratheon,Undirected,5,1.0
Cersei-Lannister,Tommen-Baratheon,Undirected,4,1.0
Cersei-Lannister,Tyrion-Lannister,Undirected,27,1.0
Cersei-Lannister,Tywin-Lannister,Undirected,10,1.0
Cersei-Lannister,Varys,Undirected,19,1.0
Cersei-Lannister,Vayon-Poole,Undirected,4,1.0
Chella,Tyrion-Lannister,Undirected,5,1.0
Chett,Jon-Snow,Undirected,4,1.0
Chett,Samwell-Tarly,Undirected,6,1.0
Chiggen,Tyrion-Lannister,Undirected,5,1.0
Chiggen,Willis-Wode,Undirected,3,1.0
Clement-Piper,Karyl-Vance,Undirected,4,1.0
Cohollo,Daenerys-Targaryen,Undirected,7,1.0
Cohollo,Drogo,Undirected,9,1.0
Cohollo,Haggo,Undirected,7,1.0
Cohollo,Qotho,Undirected,6,1.0
Colemon,Vardis-Egen,Undirected,4,1.0
Conn,Coratt,Undirected,5,1.0
Conn,Shagga,Undirected,9,1.0
Conn,Tyrion-Lannister,Undirected,6,1.0
Daenerys-Targaryen,Doreah,Undirected,15,1.0
Daenerys-Targaryen,Drogo,Undirected,101,1.0
Daenerys-Targaryen,Eddard-Stark,Undirected,5,1.0
Daenerys-Targaryen,Eroeh,Undirected,5,1.0
Daenerys-Targaryen,Haggo,Undirected,12,1.0
Daenerys-Targaryen,Illyrio-Mopatis,Undirected,24,1.0
Daenerys-Targaryen,Irri,Undirected,25,1.0
Daenerys-Targaryen,Jhiqui,Undirected,26,1.0
Daenerys-Targaryen,Jhogo,Undirected,17,1.0
Daenerys-Targaryen,Jorah-Mormont,Undirected,75,1.0
Daenerys-Targaryen,Mirri-Maz-Duur,Undirected,31,1.0
Daenerys-Targaryen,Qotho,Undirected,18,1.0
Daenerys-Targaryen,Quaro,Undirected,5,1.0
Daenerys-Targaryen,Rakharo,Undirected,4,1.0
Daenerys-Targaryen,Rhaegar-Targaryen,Undirected,4,1.0
Daenerys-Targaryen,Robert-Baratheon,Undirected,11,1.0
Daenerys-Targaryen,Varys,Undirected,5,1.0
Daenerys-Targaryen,Viserys-Targaryen,Undirected,37,1.0
Danwell-Frey,Hosteen-Frey,Undirected,3,1.0
Danwell-Frey,Jared-Frey,Undirected,3,1.0
Danwell-Frey,Walder-Frey,Undirected,3,1.0
Dareon,Jon-Snow,Undirected,6,1.0
Daryn-Hornwood,Eddard-Stark,Undirected,3,1.0
Daryn-Hornwood,Torrhen-Karstark,Undirected,3,1.0
Desmond,Eddard-Stark,Undirected,4,1.0
Dolf,Shagga,Undirected,7,1.0
Donal-Noye,Jon-Snow,Undirected,7,1.0
Doreah,Drogo,Undirected,5,1.0
Doreah,Irri,Undirected,14,1.0
Doreah,Jhiqui,Undirected,11,1.0
Doreah,Jorah-Mormont,Undirected,3,1.0
Doreah,Viserys-Targaryen,Undirected,3,1.0
Drogo,Haggo,Undirected,9,1.0
Drogo,Illyrio-Mopatis,Undirected,16,1.0
Drogo,Irri,Undirected,9,1.0
Drogo,Jhiqui,Undirected,5,1.0
Drogo,Jhogo,Undirected,7,1.0
Drogo,Jommo,Undirected,3,1.0
Drogo,Jorah-Mormont,Undirected,16,1.0
Drogo,Mirri-Maz-Duur,Undirected,12,1.0
Drogo,Ogo,Undirected,11,1.0
Drogo,Qotho,Undirected,13,1.0
Drogo,Quaro,Undirected,3,1.0
Drogo,Rakharo,Undirected,4,1.0
Drogo,Rhaego,Undirected,5,1.0
Drogo,Robert-Baratheon,Undirected,3,1.0
Drogo,Viserys-Targaryen,Undirected,19,1.0
Dywen,Jon-Snow,Undirected,4,1.0
Eddard-Stark,Edmure-Tully,Undirected,3,1.0
Eddard-Stark,Galbart-Glover,Undirected,4,1.0
Eddard-Stark,Gendry,Undirected,3,1.0
Eddard-Stark,Gerold-Hightower,Undirected,3,1.0
Eddard-Stark,Gregor-Clegane,Undirected,10,1.0
Eddard-Stark,Harwin,Undirected,5,1.0
Eddard-Stark,High-Septon-(fat_one),Undirected,4,1.0
Eddard-Stark,Howland-Reed,Undirected,3,1.0
Eddard-Stark,Ilyn-Payne,Undirected,6,1.0
Eddard-Stark,Jacks,Undirected,4,1.0
Eddard-Stark,Jaime-Lannister,Undirected,27,1.0
Eddard-Stark,Janos-Slynt,Undirected,4,1.0
Eddard-Stark,Joffrey-Baratheon,Undirected,26,1.0
Eddard-Stark,Jon-Arryn,Undirected,47,1.0
Eddard-Stark,Jon-Snow,Undirected,38,1.0
Eddard-Stark,Jory-Cassel,Undirected,32,1.0
Eddard-Stark,Joss,Undirected,5,1.0
Eddard-Stark,Loras-Tyrell,Undirected,12,1.0
Eddard-Stark,Luwin,Undirected,16,1.0
Eddard-Stark,Lyanna-Stark,Undirected,19,1.0
Eddard-Stark,Lysa-Arryn,Undirected,12,1.0
Eddard-Stark,Marq-Piper,Undirected,3,1.0
Eddard-Stark,Mordane,Undirected,11,1.0
Eddard-Stark,Mycah,Undirected,3,1.0
Eddard-Stark,Petyr-Baelish,Undirected,81,1.0
Eddard-Stark,Porther,Undirected,4,1.0
Eddard-Stark,Pycelle,Undirected,33,1.0
Eddard-Stark,Raymun-Darry,Undirected,4,1.0
Eddard-Stark,Renly-Baratheon,Undirected,33,1.0
Eddard-Stark,Rhaegar-Targaryen,Undirected,10,1.0
Eddard-Stark,Rickard-Karstark,Undirected,4,1.0
Eddard-Stark,Rickon-Stark,Undirected,4,1.0
Eddard-Stark,Robb-Stark,Undirected,16,1.0
Eddard-Stark,Robert-Baratheon,Undirected,291,1.0
Eddard-Stark,Rodrik-Cassel,Undirected,7,1.0
Eddard-Stark,Sandor-Clegane,Undirected,10,1.0
Eddard-Stark,Sansa-Stark,Undirected,34,1.0
Eddard-Stark,Stannis-Baratheon,Undirected,18,1.0
Eddard-Stark,Syrio-Forel,Undirected,6,1.0
Eddard-Stark,Theon-Greyjoy,Undirected,5,1.0
Eddard-Stark,Tobho-Mott,Undirected,7,1.0
Eddard-Stark,Tomard,Undirected,15,1.0
Eddard-Stark,Torrhen-Karstark,Undirected,5,1.0
Eddard-Stark,Tregar,Undirected,4,1.0
Eddard-Stark,Tyrion-Lannister,Undirected,21,1.0
Eddard-Stark,Tywin-Lannister,Undirected,18,1.0
Eddard-Stark,Varly,Undirected,4,1.0
Eddard-Stark,Varys,Undirected,61,1.0
Eddard-Stark,Vayon-Poole,Undirected,12,1.0
Eddard-Stark,Wyl-(guard),Undirected,3,1.0
Eddard-Stark,Wylla,Undirected,3,1.0
Edmure-Tully,Hoster-Tully,Undirected,7,1.0
Edmure-Tully,Jaime-Lannister,Undirected,4,1.0
Edmure-Tully,Karyl-Vance,Undirected,4,1.0
Edmure-Tully,Lysa-Arryn,Undirected,5,1.0
Edmure-Tully,Marq-Piper,Undirected,3,1.0
Edmure-Tully,Petyr-Baelish,Undirected,4,1.0
Edmure-Tully,Robb-Stark,Undirected,5,1.0
Edmure-Tully,Tytos-Blackwood,Undirected,3,1.0
Eon-Hunter,Lysa-Arryn,Undirected,3,1.0
Eon-Hunter,Vardis-Egen,Undirected,3,1.0
Fogo,Ogo,Undirected,4,1.0
Galbart-Glover,Jaime-Lannister,Undirected,3,1.0
Galbart-Glover,Jon-Umber-(Greatjon),Undirected,4,1.0
Galbart-Glover,Rickard-Karstark,Undirected,4,1.0
Galbart-Glover,Robb-Stark,Undirected,5,1.0
Galbart-Glover,Roose-Bolton,Undirected,3,1.0
Gared,Jeor-Mormont,Undirected,4,1.0
Gared,Waymar-Royce,Undirected,13,1.0
Gared,Will-(prologue),Undirected,12,1.0
Gerold-Hightower,Oswell-Whent,Undirected,3,1.0
Gerold-Hightower,Robert-Baratheon,Undirected,4,1.0
Gregor-Clegane,Jaime-Lannister,Undirected,3,1.0
Gregor-Clegane,Loras-Tyrell,Undirected,10,1.0
Gregor-Clegane,Marq-Piper,Undirected,6,1.0
Gregor-Clegane,Petyr-Baelish,Undirected,3,1.0
Gregor-Clegane,Pycelle,Undirected,3,1.0
Gregor-Clegane,Robert-Baratheon,Undirected,4,1.0
Gregor-Clegane,Sandor-Clegane,Undirected,11,1.0
Gregor-Clegane,Sansa-Stark,Undirected,5,1.0
Gregor-Clegane,Tyrion-Lannister,Undirected,7,1.0
Gregor-Clegane,Tywin-Lannister,Undirected,6,1.0
Grenn,Halder,Undirected,6,1.0
Grenn,Jeor-Mormont,Undirected,3,1.0
Grenn,Jon-Snow,Undirected,31,1.0
Grenn,Pypar,Undirected,27,1.0
Grenn,Samwell-Tarly,Undirected,8,1.0
Grenn,Todder,Undirected,7,1.0
Gunthor-son-of-Gurn,Tyrion-Lannister,Undirected,7,1.0
Haggo,Mirri-Maz-Duur,Undirected,3,1.0
Haggo,Qotho,Undirected,11,1.0
Haggo,Rakharo,Undirected,3,1.0
Halder,Jon-Snow,Undirected,23,1.0
Halder,Pypar,Undirected,8,1.0
Halder,Rast,Undirected,3,1.0
Halder,Samwell-Tarly,Undirected,6,1.0
Halder,Todder,Undirected,3,1.0
Hallis-Mollen,Luwin,Undirected,4,1.0
Hallis-Mollen,Robb-Stark,Undirected,13,1.0
Hallis-Mollen,Theon-Greyjoy,Undirected,7,1.0
Harwin,Hullen,Undirected,3,1.0
Harwin,Jory-Cassel,Undirected,4,1.0
Harys-Swyft,Jaime-Lannister,Undirected,3,1.0
Heward,Jory-Cassel,Undirected,5,1.0
Heward,Wyl-(guard),Undirected,3,1.0
High-Septon-(fat_one),Joffrey-Baratheon,Undirected,4,1.0
Hobb,Jon-Snow,Undirected,5,1.0
Hodor,Luwin,Undirected,10,1.0
Hodor,Nan,Undirected,8,1.0
Hodor,Robb-Stark,Undirected,5,1.0
Hosteen-Frey,Jared-Frey,Undirected,3,1.0
Hoster-Tully,Lysa-Arryn,Undirected,3,1.0
Hoster-Tully,Robert-Baratheon,Undirected,3,1.0
Hugh,Jon-Arryn,Undirected,3,1.0
Hullen,Jory-Cassel,Undirected,5,1.0
Hullen,Luwin,Undirected,3,1.0
Hullen,Robb-Stark,Undirected,3,1.0
Hullen,Rodrik-Cassel,Undirected,3,1.0
Illyrio-Mopatis,Irri,Undirected,3,1.0
Illyrio-Mopatis,Jorah-Mormont,Undirected,7,1.0
Illyrio-Mopatis,Robert-Baratheon,Undirected,6,1.0
Illyrio-Mopatis,Viserys-Targaryen,Undirected,14,1.0
Ilyn-Payne,Jeyne-Poole,Undirected,3,1.0
Ilyn-Payne,Joffrey-Baratheon,Undirected,4,1.0
Ilyn-Payne,Loras-Tyrell,Undirected,3,1.0
Ilyn-Payne,Robert-Baratheon,Undirected,4,1.0
Ilyn-Payne,Sansa-Stark,Undirected,9,1.0
Ilyn-Payne,Varys,Undirected,5,1.0
Irri,Jhiqui,Undirected,14,1.0
Irri,Jhogo,Undirected,7,1.0
Irri,Jorah-Mormont,Undirected,4,1.0
Irri,Viserys-Targaryen,Undirected,5,1.0
Jafer-Flowers,Jaremy-Rykker,Undirected,3,1.0
Jaime-Lannister,Joffrey-Baratheon,Undirected,12,1.0
Jaime-Lannister,Jon-Arryn,Undirected,5,1.0
Jaime-Lannister,Jory-Cassel,Undirected,4,1.0
Jaime-Lannister,Kevan-Lannister,Undirected,4,1.0
Jaime-Lannister,Loras-Tyrell,Undirected,3,1.0
Jaime-Lannister,Lysa-Arryn,Undirected,6,1.0
Jaime-Lannister,Petyr-Baelish,Undirected,7,1.0
Jaime-Lannister,Renly-Baratheon,Undirected,4,1.0
Jaime-Lannister,Rickard-Karstark,Undirected,3,1.0
Jaime-Lannister,Robb-Stark,Undirected,9,1.0
Jaime-Lannister,Robert-Baratheon,Undirected,24,1.0
Jaime-Lannister,Rodrik-Cassel,Undirected,3,1.0
Jaime-Lannister,Sandor-Clegane,Undirected,12,1.0
Jaime-Lannister,Sansa-Stark,Undirected,3,1.0
Jaime-Lannister,Tyrion-Lannister,Undirected,36,1.0
Jaime-Lannister,Tywin-Lannister,Undirected,16,1.0
Jaime-Lannister,Varys,Undirected,3,1.0
Jaime-Lannister,Wyl-(guard),Undirected,3,1.0
Janos-Slynt,Joffrey-Baratheon,Undirected,4,1.0
Janos-Slynt,Petyr-Baelish,Undirected,3,1.0
Janos-Slynt,Pycelle,Undirected,3,1.0
Janos-Slynt,Robert-Baratheon,Undirected,4,1.0
Janos-Slynt,Sansa-Stark,Undirected,3,1.0
Jaremy-Rykker,Jeor-Mormont,Undirected,11,1.0
Jaremy-Rykker,Jon-Snow,Undirected,7,1.0
Jeor-Mormont,Jon-Snow,Undirected,81,1.0
Jeor-Mormont,Robert-Baratheon,Undirected,4,1.0
Jeor-Mormont,Samwell-Tarly,Undirected,8,1.0
Jeor-Mormont,Tyrion-Lannister,Undirected,23,1.0
Jeor-Mormont,Yoren,Undirected,3,1.0
Jeyne-Poole,Loras-Tyrell,Undirected,4,1.0
Jeyne-Poole,Mordane,Undirected,7,1.0
Jeyne-Poole,Robert-Baratheon,Undirected,3,1.0
Jeyne-Poole,Sansa-Stark,Undirected,27,1.0
Jhiqui,Jorah-Mormont,Undirected,4,1.0
Jhogo,Jorah-Mormont,Undirected,5,1.0
Jhogo,Mirri-Maz-Duur,Undirected,3,1.0
Joffrey-Baratheon,Jon-Snow,Undirected,10,1.0
Joffrey-Baratheon,Loras-Tyrell,Undirected,3,1.0
Joffrey-Baratheon,Meryn-Trant,Undirected,3,1.0
Joffrey-Baratheon,Mordane,Undirected,9,1.0
Joffrey-Baratheon,Mycah,Undirected,14,1.0
Joffrey-Baratheon,Myrcella-Baratheon,Undirected,5,1.0
Joffrey-Baratheon,Petyr-Baelish,Undirected,11,1.0
Joffrey-Baratheon,Pycelle,Undirected,4,1.0
Joffrey-Baratheon,Renly-Baratheon,Undirected,9,1.0
Joffrey-Baratheon,Robb-Stark,Undirected,19,1.0
Joffrey-Baratheon,Robert-Baratheon,Undirected,30,1.0
Joffrey-Baratheon,Rodrik-Cassel,Undirected,9,1.0
Joffrey-Baratheon,Sandor-Clegane,Undirected,24,1.0
Joffrey-Baratheon,Sansa-Stark,Undirected,87,1.0
Joffrey-Baratheon,Stannis-Baratheon,Undirected,7,1.0
Joffrey-Baratheon,Tommen-Baratheon,Undirected,8,1.0
Joffrey-Baratheon,Tyrion-Lannister,Undirected,13,1.0
Joffrey-Baratheon,Tywin-Lannister,Undirected,3,1.0
Joffrey-Baratheon,Varys,Undirected,7,1.0
Jommo,Ogo,Undirected,3,1.0
Jon-Arryn,Lysa-Arryn,Undirected,12,1.0
Jon-Arryn,Petyr-Baelish,Undirected,4,1.0
Jon-Arryn,Pycelle,Undirected,11,1.0
Jon-Arryn,Robert-Baratheon,Undirected,32,1.0
